C,B,A,Time
1,0,100,10.1343
1,0,100,11.4385
1,0,100,14.8763
1,0,100,15.0932
1,0,100,18.7651
1,0,100,39.7182
1,0,100,44.6888
1,0,100,57.6551
1,0,100,61.2128
1,0,100,68.0681
1,0,100,80.8557
1,0,100,84.0798
1,0,100,100.77
1,0,100,101.526
1,0,100,119.35
1,0,100,137.291
1,0,100,143.487
1,0,100,145.829
1,0,100,167.975
1,0,100,173.343
1,0,100,178.211
1,0,100,212.037
1,0,100,215.747
1,0,100,218.629
1,0,100,231.484
1,0,100,238.328
1,0,100,240.913
1,0,100,246.461
1,0,100,254.199
1,0,100,277.572
1,0,100,283.515
1,0,100,285.74
1,0,100,290.269
1,0,100,290.898
1,0,100,291.128
1,0,100,292.229
1,0,100,296.83
1,0,100,310.12
1,0,100,354.456
1,0,100,358.751
1,0,100,368.063
1,0,100,377.612
1,0,100,389.758
1,0,100,389.888
1,0,100,393.53
1,0,100,399.933
1,0,100,409.672
1,0,100,416.082
1,0,100,420.288
1,0,100,456.486
1,0,100,461.813
1,0,100,464.19
1,0,100,466.462
1,0,100,486.604
1,0,100,493.623
1,0,100,496.29
1,0,100,497.157
1,0,100,498.305
1,0,100,508.473
1,0,100,516.949
1,0,100,525.683
1,0,100,535.385
1,0,100,537.582
1,0,100,540.349
1,0,100,541.85
1,0,100,542.217
1,0,100,545.616
1,0,100,568.15
1,0,100,568.622
1,0,100,573.75
1,0,100,574.733
1,0,100,577.71
1,0,100,581.301
1,0,100,589.466
1,0,100,593.805
1,0,100,598.201
1,0,100,603.619
1,0,100,611.297
1,0,100,614.01
1,0,100,631.407
1,0,100,643.487
1,0,100,649.087
1,0,100,654.681
1,0,100,662.184
1,0,100,664.041
1,0,100,674.601
1,0,100,675.003
1,0,100,675.026
1,0,100,677.058
1,0,100,687.528
1,0,100,689.145
1,0,100,695.451
1,0,100,714.298
1,0,100,726.267
1,0,100,731.931
1,0,100,737.304
1,0,100,738.018
1,0,100,744.461
1,0,100,748.29
1,0,100,765.493
1,0,100,765.521
1,0,100,766.99
1,0,100,778.828
1,0,100,791.556
1,0,100,800.102
1,0,100,800.427
1,0,100,819.359
1,0,100,829.248
1,0,100,833.498
1,0,100,841.898
1,0,100,853.16
1,0,100,856.603
1,0,100,873.078
1,0,100,873.588
1,0,100,877.6
1,0,100,899.486
1,0,100,901.892
1,0,100,906.931
1,0,100,922.158
1,0,100,941.042
1,0,100,947.504
1,0,100,951.844
1,0,100,952.082
1,0,100,960.173
1,0,100,961.313
1,0,100,968.02
1,0,100,970.031
1,0,100,985.082
1,0,100,986.893
1,0,100,987.765
1,0,100,1001.25
1,0,100,1008.96
1,0,100,1009.38
1,0,100,1020.9
1,0,100,1024.58
1,0,100,1042.26
1,0,100,1050.27
1,0,100,1059.24
1,0,100,1073.53
1,0,100,1074.74
1,0,100,1075.39
1,0,100,1095.2
1,0,100,1096.98
1,0,100,1116.21
1,0,100,1123.71
1,0,100,1133.38
1,0,100,1136.36
1,0,100,1148.77
1,0,100,1175.95
1,0,100,1177.45
1,0,100,1181.16
1,0,100,1201.62
1,0,100,1202.22
1,0,100,1202.91
1,0,100,1206.11
1,0,100,1209
1,0,100,1210.65
1,0,100,1221.7
1,0,100,1228.49
1,0,100,1230.18
1,0,100,1236.08
1,0,100,1277.7
1,0,100,1294.36
1,0,100,1306.46
1,0,100,1319.66
1,0,100,1321.86
1,0,100,1324.52
1,0,100,1324.67
1,0,100,1356
1,0,100,1369.11
1,0,100,1381.45
1,0,100,1391.26
1,0,100,1408.88
1,0,100,1433
1,0,100,1438.41
1,0,100,1447.72
1,0,100,1450.37
1,0,100,1470.36
1,0,100,1472.63
1,0,100,1478.16
1,0,100,1485.33
1,0,100,1500.31
1,0,100,1510.34
1,0,100,1549.11
1,0,100,1557.76
1,0,100,1564.79
1,0,100,1583.72
1,0,100,1596.65
1,0,100,1603.54
1,0,100,1606.53
1,0,100,1619.6
1,0,100,1623.44
1,0,100,1644.91
1,0,100,1668.57
1,0,100,1685.76
1,0,100,1689.56
1,0,100,1695.79
1,0,100,1702.79
1,0,100,1707.13
1,0,100,1718.03
1,0,100,1719.75
1,0,100,1725.81
1,0,100,1728.68
1,0,100,1732.27
1,0,100,1735.65
1,0,100,1738.23
1,0,100,1746.83
1,0,100,1747.44
1,0,100,1760.13
1,0,100,1775.77
1,0,100,1803.79
1,0,100,1808.53
1,0,100,1815.1
1,0,100,1816.65
1,0,100,1830.01
1,0,100,1832.74
1,0,100,1834.09
1,0,100,1846.92
1,0,100,1865.47
1,0,100,1882.53
1,0,100,1897.01
1,0,100,1910.64
1,0,100,1941.96
1,0,100,1975.36
1,0,100,1983.58
1,0,100,1983.85
1,0,100,2003.87
